"educ_yrs","age","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
1,26,4,2,0,0,32.07,13,1,0,0,0
0,32,12,1,1,1,47.92,4,1,0,0,0
1,20,9,3,1,1,15.96,6,1,1,0,0
7,33,7,2,0,1,50.56,3,0,1,1,0
6,27,1,4,1,0,98.48,0,1,0,0,0
2,24,4,2,1,1,27.4,4,0,1,0,0
0,37,2,5,1,1,60.51,10,0,0,0,0
0,40,8,4,0,1,133.6,6,0,0,0,0
5,58,3,3,0,0,1450.07,3,0,0,0,0
3,28,9,4,1,0,73.8,8,0,0,0,0
2,36,7,2,1,0,124.93,11,0,0,1,0
2,47,11,3,1,0,16.22,3,0,1,0,0
6,28,8,1,0,1,103.14,2,1,0,0,0
0,21,3,1,1,1,18,9,1,0,0,0
7,55,10,1,0,0,10.32,4,0,0,0,0
2,55,4,4,0,0,890.59,12,1,0,1,0
6,23,12,5,1,1,75.58,5,1,1,0,0
1,19,7,4,0,0,30.61,2,0,0,0,0
5,50,11,4,1,0,560.81,2,1,1,0,0
8,22,9,5,0,0,81.38,9,1,1,0,0
10,22,5,5,0,0,130.13,1,1,0,0,0
6,20,2,5,0,0,74.46,5,1,0,1,0
2,23,2,1,0,0,41.66,2,1,1,0,1
6,40,11,5,1,0,290.56,1,1,1,0,0
4,24,6,4,1,0,35.71,8,1,0,0,0
0,19,6,5,1,1,77.75,6,1,0,0,0
3,34,4,1,1,0,101.42,3,1,1,0,0
9,25,10,5,0,0,149.55,5,1,0,0,0
0,38,9,3,0,1,112.62,8,1,0,0,0
0,33,9,3,0,1,73.12,4,1,0,0,0
10,18,8,3,0,0,104.59,3,0,0,1,0
0,44,7,5,1,1,62.83,0,1,1,0,0
0,29,5,3,1,1,26.54,1,0,0,0,0
2,27,12,5,1,0,56.47,1,1,0,0,0
0,20,8,4,1,0,72.36,4,1,0,0,1
0,31,9,2,1,0,56.21,6,1,0,0,0
11,18,6,4,1,1,79.59,1,0,1,0,0
1,24,5,4,1,0,29.33,4,1,1,0,0
0,47,1,2,1,0,220.36,5,0,0,0,0
1,18,5,1,1,0,20.97,2,1,0,0,0
0,32,6,5,1,1,39.15,2,0,1,1,0
0,26,4,3,1,1,22.91,8,1,1,0,0
12,19,11,4,0,0,128.69,10,0,0,0,0
6,18,1,3,0,0,52.57,13,0,1,0,0
9,24,12,3,0,1,106.81,5,1,0,0,0
0,42,7,4,1,1,29.22,1,1,0,0,0
6,22,10,5,0,1,48.96,7,1,1,0,0
0,25,2,5,0,0,84.42,13,1,0,0,0
6,18,10,1,1,0,74.66,3,1,0,0,0
0,48,9,3,1,0,239.41,1,1,0,0,0
1,24,1,1,0,1,37.59,12,1,0,0,0
1,33,7,1,1,0,43.84,0,1,0,0,0
8,60,12,5,0,0,2515.41,2,0,0,0,0
3,32,4,3,1,1,81.97,7,1,0,0,0
4,22,7,4,0,1,48.86,2,0,0,1,0
6,31,6,5,1,0,168.35,4,0,0,0,1
7,25,5,5,0,1,89.98,4,0,0,0,0
7,31,10,4,0,1,143.72,5,1,1,1,0
3,38,3,4,1,1,141.06,10,0,0,0,1
14,24,10,5,1,1,290.5,11,1,0,1,0
4,19,5,2,0,0,52.36,5,1,0,1,0
6,19,2,3,0,0,58.8,0,1,0,0,0
3,18,2,5,1,1,23.57,9,0,0,1,0
5,38,5,2,0,1,216.33,3,0,0,0,0
0,34,5,5,0,0,82.91,0,1,1,0,0
3,35,4,5,1,1,86.4,9,0,1,0,0
8,47,11,5,0,0,896.42,10,0,0,0,1
0,30,6,4,1,0,51.48,0,0,0,0,0
3,26,5,2,0,1,58.36,2,1,0,0,0
9,23,11,4,0,0,101.48,7,1,1,0,0
7,23,7,4,0,1,76.99,1,1,0,0,1
0,44,7,2,1,0,139.28,0,1,1,0,0
12,17,3,2,1,0,140.2,1,1,0,0,1
6,17,4,4,1,0,3.04,12,0,0,0,0
2,28,5,2,1,0,61.71,10,0,0,0,0
6,22,2,4,1,1,57.65,1,1,0,0,0
5,23,6,4,0,1,59.3,0,0,0,0,1
4,39,7,3,1,0,59.93,9,0,0,0,0
0,19,8,2,1,1,15.37,0,1,0,0,1
0,20,1,2,1,1,13.35,4,1,1,0,0
3,45,1,3,0,1,301.38,1,1,0,0,0
6,20,11,1,1,1,39.28,3,1,1,1,0
3,21,8,2,1,1,6.63,3,0,0,0,0
6,22,10,4,0,1,48.96,2,1,1,0,0
2,29,7,5,1,0,67.41,9,0,0,0,0
6,33,11,5,0,1,160.03,1,0,0,0,0
12,22,3,3,1,0,61.19,7,1,0,1,0
9,32,6,5,1,0,306.96,14,0,0,0,0
1,51,3,2,1,1,232.49,12,0,1,0,0
3,31,5,4,1,0,96.13,5,0,0,0,0
16,31,12,4,0,1,507.55,5,0,0,0,1
2,22,9,3,0,0,37.18,1,1,1,0,0
4,46,9,5,1,1,85.98,6,1,0,0,0
7,25,1,1,1,0,96.08,8,0,1,0,1
0,29,6,5,1,1,37.04,1,0,0,1,0
9,18,5,1,0,1,50.36,3,1,1,0,0
0,23,6,5,1,1,71.57,0,0,1,0,0
0,43,7,2,1,1,123.18,8,1,0,0,0
2,29,9,4,1,1,52.66,6,0,0,0,0
10,17,10,4,1,0,95.74,10,1,0,0,0
8,29,6,5,1,0,197.21,1,1,0,0,0
2,21,7,1,0,0,41.83,0,1,0,0,0
6,21,2,5,1,0,54.74,8,1,1,0,0
4,18,12,2,0,1,26.22,4,1,1,0,0
2,39,4,5,1,0,130.44,4,0,1,0,0
0,35,1,1,1,1,62.21,0,0,0,0,0
0,36,8,4,1,0,86.83,8,1,0,0,0
8,20,2,3,1,1,84.29,1,0,1,0,1
6,45,2,5,0,1,370.67,5,0,1,0,1
6,17,12,3,0,1,44.22,1,1,0,1,0
6,36,1,1,1,1,62.86,1,0,1,0,0
7,21,2,1,0,1,64.27,6,0,0,0,1
0,32,3,2,0,0,69.65,9,0,1,0,0
4,39,7,5,1,1,179.48,11,1,0,0,0
3,30,5,5,1,1,68.78,2,1,0,0,0
3,38,9,5,1,0,176.37,3,1,0,0,0
0,25,5,3,0,1,36.08,6,1,0,0,0
1,37,1,2,0,1,71.3,4,1,0,0,0
7,20,9,2,1,0,61.47,6,1,0,1,0
3,28,4,1,0,1,69.71,7,1,0,0,0
0,18,9,3,1,0,14.24,6,1,1,0,0
6,33,10,1,1,1,73.46,6,1,0,0,1
1,40,11,2,1,0,146.29,8,1,0,0,0
6,52,8,5,0,1,814.06,9,1,0,0,1
3,29,9,1,1,0,67.02,4,1,1,0,1
0,45,1,2,1,1,19.02,7,0,0,0,0
0,37,9,3,1,1,73.93,4,0,0,0,0
9,32,11,3,0,1,222.14,5,0,0,0,1
14,18,12,2,0,0,156.14,6,0,0,0,1
6,18,7,4,1,1,40.07,2,0,0,0,0
6,37,9,3,0,0,1.55,0,0,0,0,0
3,32,3,5,0,0,126.9,5,1,0,0,0
3,55,3,5,0,1,62.76,1,1,1,0,0
11,45,4,2,1,0,1090.28,1,0,1,1,0
0,24,7,3,1,1,19.16,10,0,1,0,0
7,30,11,4,1,1,144.04,2,0,0,0,1
7,20,3,5,1,1,57.86,12,1,0,1,0
0,37,11,5,1,1,73.93,0,1,0,0,0
6,22,9,2,0,1,60.3,3,0,0,0,0
2,36,11,3,0,0,182.24,3,0,0,1,0
12,27,9,1,1,0,5.54,10,1,0,0,0
5,18,9,1,1,0,21.57,8,1,1,0,0
4,28,11,3,0,1,81.33,7,1,0,0,1
6,22,1,1,0,1,69.72,3,1,0,1,0
5,25,5,3,0,0,88.72,6,0,0,0,0
6,28,9,2,0,1,105.6,10,1,0,0,1
0,31,12,5,1,0,22.84,1,0,1,0,0
5,35,12,2,0,1,167.08,1,1,0,0,0
8,24,6,5,0,1,16.55,11,1,0,0,0
6,30,5,1,0,0,157.53,8,0,0,0,0
0,45,12,1,0,1,165.41,1,0,1,0,0
0,22,4,5,0,0,35.27,5,1,0,0,0
3,48,6,4,1,0,18.81,1,1,1,0,0
0,24,7,1,0,0,43.24,6,1,0,0,1
5,17,4,1,0,0,42.97,11,0,0,0,0
6,58,1,3,0,1,1290.68,2,1,0,0,0
13,35,4,4,0,0,622.32,1,0,0,0,1
4,55,10,4,1,0,867.96,0,0,0,0,0
0,26,10,2,1,0,64.27,12,0,0,0,0
12,40,11,3,0,0,819.28,6,1,0,0,0
4,21,4,1,1,1,26.5,4,0,0,0,1
6,48,6,1,0,0,750.12,12,0,0,0,1
2,24,5,1,1,1,72.01,5,0,0,0,0
1,31,7,1,1,1,1.92,2,1,0,1,0
0,60,1,3,1,0,633.11,1,1,0,0,0
0,32,2,5,1,0,22.91,3,1,0,0,0
0,30,10,4,0,1,28.6,2,0,0,0,0
0,42,11,2,0,1,95.67,3,1,0,1,0
10,34,4,1,0,1,238.94,4,1,1,0,0
5,18,8,4,0,0,38.24,6,1,1,0,0
1,27,3,4,1,1,89.54,3,1,1,0,0
1,31,1,1,0,1,58.15,2,0,1,0,1
4,21,11,3,1,1,36.82,2,1,0,0,0
5,32,10,5,0,0,53.96,1,1,0,0,1
4,30,3,4,1,1,82.25,1,1,0,0,0
5,19,10,4,0,1,40.31,5,1,0,0,0
6,18,9,2,0,0,62.04,3,1,0,1,0
6,25,2,5,0,0,101.09,4,1,0,0,0
0,20,11,4,1,1,13.35,1,1,1,0,0
0,32,5,3,1,1,47.92,2,0,0,0,0
0,23,12,1,0,1,30.15,9,1,0,0,0
0,26,3,2,1,0,29.33,9,1,1,0,0
2,18,11,1,0,1,24.87,8,1,0,0,0
4,54,1,1,0,1,599.02,8,0,1,0,1
0,21,1,5,0,1,25.17,7,1,0,0,0
0,33,5,5,0,0,76,5,1,1,0,0
5,36,7,4,1,1,165.92,2,0,0,0,0
7,51,4,5,1,1,684.2,4,0,1,1,0
0,18,4,1,0,1,15.55,13,1,1,0,0
2,35,12,4,0,1,70.05,8,0,1,1,0
3,19,4,2,1,0,26.68,1,1,1,0,0
7,18,2,5,0,1,48.91,5,1,0,0,1
5,21,9,4,0,0,61.89,11,1,0,0,0
2,21,4,1,0,0,41.83,0,1,0,0,0
1,22,11,4,0,1,73.64,6,1,0,0,0
1,35,2,1,1,0,96.69,3,0,0,0,1
2,34,8,1,1,0,104.45,3,1,0,0,0
14,19,5,4,0,1,130.51,4,0,0,0,0
7,28,10,4,0,1,135.87,0,0,0,1,0
3,23,3,3,0,1,44.61,1,0,0,0,0
6,34,10,3,1,1,166.88,5,0,0,0,0
7,36,3,2,1,0,303.77,6,0,0,0,0
0,23,5,5,0,0,89.19,11,1,0,0,0
13,18,8,2,0,0,108.67,4,0,1,0,0
3,34,3,4,0,1,136.43,5,0,0,1,0
4,35,4,1,0,1,146.63,5,0,0,0,0
10,18,4,2,1,0,107.44,7,0,0,0,1
0,19,3,1,1,1,15.01,3,1,0,0,0
2,23,11,4,0,1,39.15,2,0,0,0,0
6,50,6,1,1,0,825.99,4,1,0,0,0
4,24,3,1,0,1,45.15,7,1,1,0,0
5,20,11,2,1,0,41.8,11,1,1,0,0
1,26,2,4,0,1,44.95,0,0,0,0,0
0,34,12,2,0,1,81.66,2,1,0,0,1
3,33,10,1,1,1,89.44,4,0,0,0,0
6,34,12,5,1,0,213.64,6,1,0,0,0
6,30,8,1,0,1,125.99,1,1,0,0,1
0,25,1,1,1,1,20.95,10,0,1,0,0
2,21,10,2,1,0,32.96,8,1,0,0,0
10,24,4,1,0,0,155.81,8,1,0,0,0
2,31,9,5,1,0,63.13,8,1,1,0,0
0,19,4,1,0,0,31.06,5,1,0,1,0
0,24,2,1,1,1,23.59,3,1,0,0,0
5,17,10,4,0,0,34.89,2,0,1,0,0
3,27,9,1,1,1,97.55,0,1,0,1,0
3,20,1,1,0,0,35.35,1,0,1,0,0
0,25,4,5,0,1,33.87,4,1,1,1,0
4,30,5,4,0,1,76.96,2,0,1,0,0
6,24,11,3,1,0,90.47,0,0,0,0,1
8,18,1,2,0,1,93.22,2,0,0,0,0
0,21,10,3,1,1,18,7,0,0,0,0
1,22,5,2,0,1,25.49,13,0,1,0,0
4,18,11,5,0,0,41.33,5,0,0,0,0
2,18,2,1,1,1,19.71,0,1,0,1,0
1,42,1,5,1,1,98.16,7,1,0,0,0
10,20,11,1,0,0,32.43,5,1,1,0,0
2,38,4,4,1,0,119.75,5,0,1,0,0
1,28,7,3,0,1,53.69,4,0,0,0,0
9,20,4,3,0,1,74.42,4,1,0,0,0
8,21,7,5,0,0,7.72,1,0,0,0,0
0,32,3,1,1,0,49.81,2,1,1,0,0
8,18,1,1,1,0,51.9,1,0,0,0,0
5,19,11,5,1,1,30.52,11,1,1,0,1
0,26,7,4,0,1,39.45,3,0,0,0,0
5,27,7,4,0,1,82.83,0,0,0,0,0
9,22,4,5,0,0,132.04,8,1,0,1,0
4,22,9,2,1,1,18.44,3,1,1,0,0
6,40,5,5,1,0,357.84,5,0,0,0,0
15,17,9,2,0,0,131.81,5,0,1,0,1
9,17,9,1,1,0,80.54,4,1,0,1,0
6,26,6,2,0,0,110.53,0,1,0,0,0
1,32,7,5,0,0,81.26,1,0,1,0,1
6,26,5,1,0,1,88.4,2,1,0,0,1
4,27,5,4,1,0,65.97,4,0,1,1,0
9,20,2,1,0,1,74.42,0,1,0,0,0
0,19,10,4,1,0,19.21,2,0,0,0,0
3,24,2,4,0,1,39.63,2,1,1,0,0
1,40,7,3,1,1,114.27,5,0,0,0,0
6,36,10,3,0,1,239.97,7,0,0,1,0
8,58,7,2,0,0,1783.47,7,0,1,0,1
0,44,12,4,1,1,108.8,2,1,1,0,0
6,28,10,3,0,1,51.38,13,0,1,0,0
8,29,3,2,1,1,154.05,5,1,0,0,0
4,18,10,4,1,1,91.46,1,1,1,0,0
10,29,2,1,1,0,234.48,8,0,1,0,1
8,24,12,2,1,1,98.71,9,0,0,0,0
14,28,2,3,0,0,375.2,13,1,0,0,0
3,47,11,2,1,1,301.44,2,1,0,0,1
6,42,5,2,1,1,31.05,3,0,0,0,1
5,33,11,4,0,1,116.76,9,1,1,0,1
0,42,7,4,0,1,33.97,1,1,0,0,1
6,18,4,5,1,1,40.07,4,0,0,0,0
3,27,3,4,1,1,81.12,4,1,1,0,0
0,18,6,1,1,1,65.88,1,0,0,0,1
6,25,7,2,0,0,82.08,5,1,1,0,0
6,29,9,3,0,0,144.24,4,1,0,0,0
14,18,3,1,1,1,171.66,2,0,0,0,1
7,25,2,5,0,0,133.17,5,1,0,1,0
6,36,4,3,1,1,198.42,6,0,0,0,0
4,20,2,2,0,1,32.21,7,1,1,0,1
2,24,8,1,0,0,44.52,2,1,1,0,0
2,29,2,3,1,0,67.41,5,0,0,0,0
9,41,7,3,1,0,544.28,12,1,1,1,0
2,21,3,2,0,0,33.97,12,0,1,0,0
0,33,3,5,0,0,108.22,4,0,0,1,0
6,31,1,5,0,0,172,4,0,0,0,0
11,38,7,4,0,1,393.63,5,1,1,0,1
12,23,10,5,0,1,120.08,4,0,1,0,1
8,33,9,2,0,1,207.77,9,0,0,0,0
4,21,4,2,1,0,47.14,8,1,0,0,0
7,19,7,3,1,1,38.13,0,1,0,0,0
0,28,9,4,0,1,47.12,7,1,0,0,0
2,31,10,2,0,1,81.6,2,0,0,0,1
3,50,3,2,0,1,13.47,4,1,1,1,0
0,19,8,3,0,1,24.26,1,0,0,1,0
3,33,8,1,0,1,125.06,2,0,0,1,0
5,24,6,4,1,0,74.33,3,0,0,1,0
2,40,10,5,1,1,136.66,1,0,0,0,0
3,26,1,3,1,0,61.78,3,1,0,0,0
6,17,6,3,1,1,76.56,8,0,0,0,0
0,21,1,4,0,0,26.79,5,1,1,0,1
11,19,5,1,1,1,33.19,9,0,0,0,1
12,53,1,2,0,0,83.2,7,0,0,0,0
1,30,8,1,1,1,49.24,11,1,0,0,1
4,18,3,3,1,0,35.87,7,1,0,0,0
5,18,7,2,1,1,33.51,2,0,0,0,0
9,20,4,1,1,0,12.52,3,0,1,0,1
6,40,1,5,1,1,226.97,4,0,1,0,0
1,53,10,1,0,1,56.8,3,1,0,1,0
7,21,4,2,0,1,44.84,7,0,0,0,0
8,18,5,4,1,0,45.62,7,1,1,0,0
2,43,2,4,1,1,176.18,1,0,0,0,0
4,18,9,2,1,1,59.44,6,1,0,0,0
2,22,8,4,1,0,60.59,4,0,1,1,0
1,19,7,2,1,0,18.66,6,1,1,0,0
0,22,8,4,0,1,22.91,0,1,1,0,1
2,21,4,1,0,1,26.53,2,1,1,0,0
7,17,1,2,0,0,55.79,7,0,0,0,0
6,33,4,1,0,0,166.34,3,0,1,0,0
0,25,9,3,0,0,46.19,2,0,0,0,0
0,24,2,2,0,1,32.99,2,0,0,0,0
8,31,11,2,1,1,184.8,2,0,0,1,0
3,37,8,3,0,1,152.92,0,0,0,0,0
0,35,3,3,0,1,86.98,2,0,0,0,0
8,22,11,4,1,1,46.94,4,0,0,0,1
2,23,1,1,1,1,25.04,3,1,1,0,0
4,37,3,3,0,0,8.02,7,1,0,0,0
5,32,4,2,1,1,25.69,2,0,1,0,1
2,26,11,5,1,1,42.73,7,1,0,1,0
4,53,3,5,0,0,850.48,6,1,0,0,0
3,51,6,5,1,0,4.56,11,1,0,0,0
2,47,1,4,1,0,322.68,7,0,0,0,1
3,24,8,1,0,1,48.8,10,1,0,0,0
8,23,6,1,0,1,99.06,4,1,0,1,0
4,34,3,3,0,1,75.66,2,0,0,0,1
6,50,3,1,0,1,780.34,10,0,0,1,0
6,19,1,4,1,1,69.47,7,0,0,0,0
0,39,11,5,1,1,40.82,1,0,0,0,0
8,52,2,4,1,0,1129.93,2,1,1,0,0
6,46,4,2,0,1,484.69,3,0,0,0,0
13,37,12,4,0,0,586.45,0,1,1,0,0
7,20,4,5,0,0,59.58,0,1,1,0,0
4,36,3,3,0,0,21.08,4,1,0,0,0
3,20,2,2,0,1,34,4,1,0,0,0
2,27,12,5,1,1,36.03,3,1,1,1,0
0,44,9,1,1,0,171.53,3,0,0,0,0
0,19,5,1,0,1,41.06,11,1,0,1,0
0,37,9,3,1,1,73.93,3,1,0,0,0
1,28,9,3,0,0,95.7,2,1,0,0,0
0,35,4,4,0,1,86.98,8,1,0,0,0
2,36,10,3,0,1,126.07,0,0,0,0,1
0,34,7,2,0,1,65.17,1,0,0,0,0
0,53,5,3,1,0,299.99,8,1,1,0,1
0,38,11,1,1,1,80.55,10,1,0,0,0
9,28,9,3,0,0,91.63,8,1,0,0,0
6,34,6,1,1,0,173.47,9,1,1,0,0
0,27,1,2,1,1,30.84,4,1,0,0,0
7,47,10,4,0,0,59.66,10,0,0,0,0
5,42,11,3,0,1,351.54,1,0,0,1,0
1,27,6,4,0,0,64.4,11,0,0,0,1
0,21,7,1,1,1,18.43,3,1,0,0,1
8,37,6,5,0,1,293.72,3,1,0,0,0
6,24,2,3,1,0,88.89,10,1,0,1,0
6,20,9,5,0,0,52.29,1,1,1,0,0
9,29,9,3,0,0,218.49,7,0,0,0,1
2,28,6,2,0,1,61.18,6,1,0,0,0
7,42,3,2,0,0,584.29,12,1,0,1,0
6,19,11,2,0,1,47.02,3,1,0,0,1
6,31,3,5,0,1,134.36,2,0,0,0,0
5,24,12,5,0,1,73.26,0,1,0,1,0
0,38,7,3,0,1,30.64,3,1,1,0,0
0,35,1,2,0,1,39.61,2,0,1,0,0
6,37,10,1,0,0,289.61,6,1,0,0,0
5,45,1,4,1,1,356.41,2,0,0,0,0
0,50,12,2,1,1,19.34,8,0,1,0,0
1,29,4,4,1,1,35.97,3,1,1,1,0
9,21,12,1,1,0,116,7,1,0,1,0
5,20,8,4,0,0,57.87,7,0,0,0,1
0,39,8,4,0,0,127.52,3,1,1,0,0
0,31,7,4,1,1,35.87,5,0,1,1,0
10,21,7,3,0,1,107.36,4,1,0,1,0
9,40,1,5,0,0,553.79,6,1,0,0,0
3,20,5,2,0,0,40.87,9,0,1,1,0
0,21,11,1,1,1,18.43,2,1,0,0,1
8,21,7,2,0,1,71.52,3,0,0,0,0
1,19,1,5,0,0,64.82,4,1,1,0,0
1,22,5,2,0,1,25.49,8,1,1,0,0
6,37,4,3,0,1,226.23,0,1,0,0,0
3,23,3,4,1,0,47.5,5,0,0,1,0
7,21,3,1,1,0,82.54,7,1,0,0,1
0,34,1,5,1,1,46.32,2,1,1,0,0
6,36,9,3,1,0,254.01,1,1,0,0,0
7,48,8,2,0,0,834.8,4,0,0,0,0
8,18,9,3,0,0,89.17,3,1,1,1,0
4,23,12,4,0,1,58.76,0,0,0,1,0
0,21,9,1,1,0,23.04,6,0,0,0,0
2,34,4,1,0,1,103.56,11,1,0,0,0
8,18,2,3,0,1,54.43,7,0,0,0,0
2,19,9,2,0,1,27.25,1,1,0,0,0
0,32,4,2,0,1,67,3,1,0,0,0
4,35,8,5,0,1,146.63,5,1,0,0,0
6,23,3,3,1,1,63.09,8,1,0,0,0
6,37,6,4,1,0,276.85,1,1,0,0,0
13,28,3,3,0,1,263.35,14,1,0,0,1
0,21,9,2,0,0,32.22,7,0,0,0,0
3,31,10,2,0,0,116.26,5,1,0,0,0
1,28,5,2,0,0,96.82,5,0,1,0,0
2,33,9,1,0,0,98.68,7,0,1,0,0
0,19,3,2,1,1,15.01,1,0,0,0,0
1,20,11,1,1,1,19.66,1,1,0,0,0
3,23,12,5,1,1,36.88,1,0,0,0,0
0,18,11,4,0,1,19.15,10,1,0,0,0
4,18,6,4,1,1,28.19,1,1,0,1,0
5,38,11,3,0,0,224.87,5,1,1,0,0
8,18,3,2,0,0,71.34,7,1,0,0,1
6,19,12,1,0,1,45.93,7,1,0,0,0
0,21,4,3,0,1,25.17,3,0,0,0,0
10,18,11,5,0,1,66.34,14,0,1,1,0
8,40,7,5,0,0,4.8,1,1,1,0,0
5,28,12,3,0,0,115.87,0,1,0,0,0
6,29,12,3,0,1,76.77,4,1,0,0,0
5,21,2,5,1,1,36.61,2,0,1,0,1
6,43,1,5,0,0,482.57,14,1,0,0,0
0,18,3,4,0,0,28.35,0,1,0,1,0
1,28,9,5,0,1,53.69,1,1,0,0,0
6,27,3,5,1,1,90.22,11,1,0,0,0
2,17,10,3,0,1,23.23,3,1,0,0,1
3,19,9,1,0,1,15.52,3,1,0,0,0
8,44,6,5,0,0,787.93,9,0,0,1,0
1,23,4,4,0,1,8.14,4,0,1,0,1
0,23,5,3,0,1,30.15,4,1,0,0,0
12,21,5,1,0,0,154.34,4,0,0,0,0
5,25,12,4,0,0,90.84,14,1,0,0,1
3,25,2,4,1,1,44.14,10,1,0,0,0
2,61,3,4,1,0,795.77,1,1,1,0,0
0,47,1,2,0,1,82.58,5,0,1,0,0
2,28,1,4,1,0,61.71,6,1,0,0,0
0,29,8,4,0,0,53.51,1,1,1,0,0
7,54,6,3,1,0,1369.16,2,1,0,0,0
2,29,9,5,1,0,32.41,1,1,1,0,1
6,18,12,4,0,1,42.92,2,0,0,0,1
1,43,1,2,0,1,226.89,1,0,0,1,0
3,18,9,3,1,0,30.17,3,1,0,1,0
6,25,10,4,1,0,59.28,7,1,0,0,0
5,48,11,4,0,1,407.81,1,1,1,0,0
6,30,12,5,1,1,95.52,3,0,1,0,0
2,21,11,3,1,0,33.16,13,1,0,1,0
4,22,4,1,0,0,59.46,10,1,0,0,0
4,18,2,3,1,1,28.19,2,1,0,1,0
4,39,7,1,1,0,229.76,2,1,0,0,0
8,25,5,3,1,0,138.21,6,1,0,0,0
0,28,1,5,1,0,43.15,11,1,0,0,0
6,31,11,1,1,1,129.21,5,1,0,1,0
9,24,9,3,0,0,111.03,0,1,1,0,0
9,23,9,4,0,0,124.98,14,0,0,0,0
7,28,9,1,0,1,117.52,4,0,0,0,0
6,26,12,4,0,0,110.53,2,0,0,0,0
3,41,5,3,1,0,229.14,6,1,0,1,0
1,23,8,1,0,0,36.56,3,0,1,0,1
0,21,6,5,0,0,32.22,0,0,0,0,0
8,31,1,1,1,0,192.09,6,1,1,1,0
5,31,7,1,0,0,150.95,4,1,0,0,0
7,42,4,2,0,1,456.42,0,1,0,1,0
6,23,10,3,0,1,65.99,4,0,0,0,0
2,23,5,1,0,1,39.15,3,0,0,0,0
6,33,7,1,0,0,166.34,4,0,1,0,0
11,24,2,5,0,1,138.68,2,0,0,0,0
4,38,9,4,0,1,189.85,1,0,0,0,0
5,28,11,1,0,1,90.51,2,0,0,0,0
5,26,8,4,0,0,97.01,10,1,0,0,0
6,21,5,1,0,1,55.09,6,1,0,0,0
0,19,3,4,0,1,20.98,8,1,0,0,0
2,30,8,4,0,1,59.27,7,1,1,0,0
4,25,5,5,0,0,71.83,1,1,1,0,1
1,43,7,4,1,0,153.13,4,1,1,0,0
0,25,11,5,1,0,27.46,9,1,1,0,1
8,33,4,1,0,0,265.98,7,1,0,0,0
0,40,7,5,1,1,95.55,0,0,0,0,0
6,30,10,5,1,1,53.62,12,1,0,0,0
1,21,1,1,0,1,28.68,1,0,0,0,0
7,22,7,2,1,1,56.31,1,1,1,1,0
1,35,1,3,1,1,60.81,8,1,0,0,1
0,40,2,3,0,0,64.06,12,0,1,0,0
0,28,12,3,0,0,59.42,7,1,0,0,0
2,28,3,1,1,0,61.71,10,1,0,0,0
8,28,2,4,0,0,171.43,1,1,0,0,0
2,17,11,1,1,1,14.52,3,0,1,0,0
6,25,6,5,1,1,56.54,1,1,0,0,0
0,21,7,1,1,1,18,4,0,0,0,0
7,18,9,5,0,1,55.22,4,1,0,1,0
0,43,8,3,1,1,54.39,12,0,0,0,0
9,20,10,3,0,0,95.28,3,0,0,0,0
4,52,7,3,0,0,783.94,3,0,0,0,0
4,22,2,3,1,0,51.6,11,1,0,0,0
1,48,10,4,1,1,55.25,4,0,0,0,1
0,22,9,1,1,1,16,7,1,1,0,0
8,22,4,4,1,1,82.44,4,0,0,0,0
4,22,2,5,1,1,73.64,2,0,0,0,1
8,22,12,1,0,0,100.23,1,1,0,0,0
0,19,11,1,0,1,17.04,1,0,1,0,0
0,35,12,1,0,1,35.24,7,1,1,0,0
6,23,3,5,0,1,65.99,4,1,0,0,0
0,19,12,2,1,1,36.96,4,0,0,0,0
4,17,6,4,0,1,29.46,13,1,0,0,0
0,44,8,3,1,1,108.8,14,1,1,0,0
12,19,12,1,0,1,100.52,5,0,0,0,0
4,30,11,3,0,1,94.78,8,1,0,0,0
0,31,1,2,1,0,56.21,2,0,0,0,0
8,21,4,3,0,1,12.12,9,1,0,0,1
9,37,4,3,0,0,356.19,5,1,1,0,1
8,44,11,2,0,1,545.06,2,1,0,0,1
4,40,6,5,0,1,225.21,4,1,0,0,0
3,40,11,4,1,1,8.66,2,0,1,0,0
3,50,9,1,1,0,54.84,1,1,1,0,0
7,26,6,3,1,0,102.6,11,0,1,0,0
7,45,12,3,0,0,95.25,5,0,1,0,1
8,35,12,2,0,1,28.84,1,1,1,0,0
3,36,2,2,0,0,179.61,7,1,0,0,0
11,27,8,5,1,0,234.89,5,1,1,0,1
0,49,7,4,1,1,203.13,4,1,0,0,0
1,24,4,2,0,1,37.59,1,0,0,0,0
5,30,6,3,1,1,98.37,7,1,0,0,0
7,27,6,4,0,1,107.54,5,1,0,0,0
3,21,1,2,0,0,47.67,8,0,0,0,0
5,42,9,2,1,0,58.3,2,1,1,1,0
6,38,3,2,0,1,200.15,2,1,1,0,0
4,20,2,1,0,1,32.21,14,0,1,0,1
3,22,12,2,0,1,47.13,0,1,0,1,0
0,43,3,5,0,1,199.13,5,0,0,1,0
4,29,8,4,1,1,75.31,6,0,0,0,0
2,18,12,1,0,1,24.87,5,1,0,0,0
0,36,10,3,1,1,67.83,0,1,0,0,0
1,22,8,2,0,1,25.92,4,1,0,0,0
6,23,4,2,0,0,30.07,3,0,0,0,1
6,46,1,1,0,0,620.49,1,0,0,0,0
0,38,3,1,1,1,15.81,4,1,0,0,0
